section	method	samples	F1	L1	Pearson	FP_plus_FN_or_pooled	decision	source
hmp_airskin_gtdb_source_abundance_sample18	Sylph r232 GTDB source-abundance sample18	18	1.0	1.8827650603233312	0.9999303274396941	TP/FP/FN=27/0/0	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin18_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance_sample21	MinCO current-code GTDB source-abundance sample21	21	0.8800000000000001	34.74496714676101	0.9626902136826684	TP/FP/FN=33/8/1	release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin21_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance_sample21	Sylph r232 GTDB source-abundance sample21	21	0.9705882352941176	2.197983021433104	0.9998887705925338	TP/FP/FN=33/1/1	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin21_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance_sample24	MinCO current-code GTDB source-abundance sample24	24	0.9090909090909091	13.776347378834844	0.9946961294046553	TP/FP/FN=25/1/4	release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin24_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance_sample24	Sylph r232 GTDB source-abundance sample24	24	0.9152542372881356	4.668798630764398	0.9993530471021701	TP/FP/FN=27/3/2	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin24_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance_sample25	MinCO current-code GTDB source-abundance sample25	25	0.72	23.876829864906867	0.984476052440572	TP/FP/FN=45/31/4	release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin25_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance_sample25	Sylph r232 GTDB source-abundance sample25	25	0.9690721649484536	4.836648420574486	0.9988670457680718	TP/FP/FN=47/1/2	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin25_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance_8sample	MinCO current-code GTDB source-abundance samples0,5,6,11,18,21,22,28	0,5,6,11,18,21,22,28	0.8850733085266158	20.056058462952546	0.9717702663657233	TP/FP/FN=190/40/12	expanded_release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample18_21_0_5_6_11_22_28_summary.tsv
hmp_airskin_gtdb_source_abundance_8sample	Sylph r232 GTDB source-abundance samples0,5,6,11,18,21,22,28	0,5,6,11,18,21,22,28	0.9488193213646114	3.8338241138402576	0.9985040670551861	TP/FP/FN=194/11/8	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample18_21_0_5_6_11_22_28_summary.tsv
hmp_airskin_gtdb_source_abundance_9sample	MinCO current-code GTDB source-abundance samples0,5,6,11,13,18,21,22,28	0,5,6,11,13,18,21,22,28	0.8895096075792142	23.910716860899626	0.9649651721631309	TP/FP/FN=227/43/15	expanded_release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample13_0_5_6_11_18_21_22_28_summary.tsv
hmp_airskin_gtdb_source_abundance_9sample	Sylph r232 GTDB source-abundance samples0,5,6,11,13,18,21,22,28	0,5,6,11,13,18,21,22,28	0.9531343213227275	4.334994632589364	0.998381714339334	TP/FP/FN=234/12/8	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample13_0_5_6_11_18_21_22_28_summary.tsv
hmp_airskin_gtdb_source_abundance_10sample	MinCO current-code GTDB source-abundance samples0,5,6,11,13,18,21,22,25,28	0,5,6,11,13,18,21,22,25,28	0.8725586468212926	23.907328161300352	0.9669162601908752	TP/FP/FN=272/74/19	expanded_release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample25_0_5_6_11_13_18_21_22_28_summary.tsv
hmp_airskin_gtdb_source_abundance_10sample	Sylph r232 GTDB source-abundance samples0,5,6,11,13,18,21,22,25,28	0,5,6,11,13,18,21,22,25,28	0.9547281056853001	4.385160011387876	0.9984302474822077	TP/FP/FN=281/13/10	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample25_0_5_6_11_13_18_21_22_28_summary.tsv
hmp_airskin_gtdb_source_abundance_11sample	MinCO current-code GTDB source-abundance samples0,3,5,6,11,13,18,21,22,25,28	0,3,5,6,11,13,18,21,22,25,28	0.8802757524294151	22.885813509335385	0.9696533771599569	TP/FP/FN=317/76/21	expanded_release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample3_0_5_6_11_13_18_21_22_25_28_summary.tsv
hmp_airskin_gtdb_source_abundance_11sample	Sylph r232 GTDB source-abundance samples0,3,5,6,11,13,18,21,22,25,28	0,3,5,6,11,13,18,21,22,25,28	0.9578662153346325	4.255775419395864	0.9985662560498132	TP/FP/FN=327/13/11	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample3_0_5_6_11_13_18_21_22_25_28_summary.tsv
hmp_airskin_gtdb_source_abundance_12sample	MinCO current-code GTDB source-abundance samples0,1,3,5,6,11,13,18,21,22,25,28	0,1,3,5,6,11,13,18,21,22,25,28	0.8635861063936305	22.48748602439845	0.9719650910145848	TP/FP/FN=368/124/21	expanded_release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample1_0_3_5_6_11_13_18_21_22_25_28_summary.tsv
hmp_airskin_gtdb_source_abundance_12sample	Sylph r232 GTDB source-abundance samples0,1,3,5,6,11,13,18,21,22,25,28	0,1,3,5,6,11,13,18,21,22,25,28	0.9605683025680732	4.082661329849862	0.9986779928010022	TP/FP/FN=378/14/11	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample1_0_3_5_6_11_13_18_21_22_25_28_summary.tsv
hmp_airskin_gtdb_source_abundance_13sample	MinCO current-code GTDB source-abundance samples0,1,3,5,6,11,13,17,18,21,22,25,28	0,1,3,5,6,11,13,17,18,21,22,25,28	0.8566263477246958	22.798077918145697	0.9738146669280113	TP/FP/FN=414/151/21	expanded_release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample17_0_1_3_5_6_11_13_18_21_22_25_28_summary.tsv
hmp_airskin_gtdb_source_abundance_13sample	Sylph r232 GTDB source-abundance samples0,1,3,5,6,11,13,17,18,21,22,25,28	0,1,3,5,6,11,13,17,18,21,22,25,28	0.9619648488517076	3.9126548343139027	0.9987771145082205	TP/FP/FN=424/16/11	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample17_0_1_3_5_6_11_13_18_21_22_25_28_summary.tsv
hmp_airskin_gtdb_source_abundance_14sample	MinCO current-code GTDB source-abundance samples0,1,3,5,6,11,13,17,18,21,22,24,25,28	0,1,3,5,6,11,13,17,18,21,22,24,25,28	0.860373816393711	22.153668593909206	0.9753061999620574	TP/FP/FN=439/152/25	expanded_release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample24_0_1_3_5_6_11_13_17_18_21_22_25_28_summary.tsv
hmp_airskin_gtdb_source_abundance_14sample	Sylph r232 GTDB source-abundance samples0,1,3,5,6,11,13,17,18,21,22,24,25,28	0,1,3,5,6,11,13,17,18,21,22,24,25,28	0.9586283765971667	3.9666651054889384	0.9988182525506455	TP/FP/FN=451/19/13	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample24_0_1_3_5_6_11_13_17_18_21_22_25_28_summary.tsv
hmp_airskin_gtdb_source_abundance_15sample	MinCO current-code GTDB source-abundance samples0,1,3,5,6,11,13,16,17,18,21,22,24,25,28	0,1,3,5,6,11,13,16,17,18,21,22,24,25,28	0.8696822286341302	21.137729988628173	0.9769414783446609	TP/FP/FN=449/152/25	expanded_release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample16_0_1_3_5_6_11_13_17_18_21_22_24_25_28_summary.tsv
hmp_airskin_gtdb_source_abundance_15sample	Sylph r232 GTDB source-abundance samples0,1,3,5,6,11,13,16,17,18,21,22,24,25,28	0,1,3,5,6,11,13,16,17,18,21,22,24,25,28	0.9613864848240222	3.7881266662759723	0.9988943414700983	TP/FP/FN=461/19/13	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample16_0_1_3_5_6_11_13_17_18_21_22_24_25_28_summary.tsv
hmp_airskin_gtdb_source_abundance_16sample	MinCO current-code GTDB source-abundance samples0,1,3,5,6,11,13,15,16,17,18,21,22,24,25,28	0,1,3,5,6,11,13,15,16,17,18,21,22,24,25,28	0.8723923067358015	20.372639356510803	0.9783529267644735	TP/FP/FN=470/153/28	expanded_release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample15_0_1_3_5_6_11_13_16_17_18_21_22_24_25_28_summary.tsv
hmp_airskin_gtdb_source_abundance_16sample	Sylph r232 GTDB source-abundance samples0,1,3,5,6,11,13,15,16,17,18,21,22,24,25,28	0,1,3,5,6,11,13,15,16,17,18,21,22,24,25,28	0.959973298910276	3.6125227677035356	0.9989624602969628	TP/FP/FN=484/21/14	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample15_0_1_3_5_6_11_13_16_17_18_21_22_24_25_28_summary.tsv
