panel	method	samples	mean_F1	pooled_F1	pooled_TP	pooled_FP	pooled_FN	mean_L1_union_pp	mean_L1_truth_only_pp	mean_Pearson_union	mean_Pearson_truth_only	official_L1_pp	official_Pearson	current_official_L1_pp	current_official_Pearson	delta_current_L1_pp	delta_current_Pearson
cami2_toy_mouse_gut	exact_hit_abund_ge_0.00	5,6,7	0.8938387600398774	0.8776470588235294	373	10	94	33.341549578019404	31.80923599140526	0.9869650549698784	0.9872699624652629	31.80923599140526	0.9872699624652629	13.767837122926558	0.987976607726638	18.0413988684787	-0.000706645261375094
cami3_toy_human_gut_gtdb_source_readmap	exact_hit_abund_ge_0.00	0,1,2	0.8159567931704953	0.8145695364238409	246	62	50	61.233597687407155	50.52920894617725	0.833836469860853	0.8465633133102163	61.233597687407155	0.833836469860853	62.732029033424595	0.8239151096773089	-1.4984313460174405	0.00992136018354417
cami3_toy_human_gut_gtdb_source_readmap	exact_hit_abund_ge_0.05	0,1,2	0.8159567931704953	0.8145695364238409	246	62	50	61.233597687407155	50.52920894617725	0.833836469860853	0.8465633133102163	61.233597687407155	0.833836469860853	62.732029033424595	0.8239151096773089	-1.4984313460174405	0.00992136018354417
cami3_toy_human_gut_gtdb_source_readmap	exact_hit_abund_ge_0.10	0,1,2	0.8159567931704953	0.8145695364238409	246	62	50	61.233597687407155	50.52920894617725	0.833836469860853	0.8465633133102163	61.233597687407155	0.833836469860853	62.732029033424595	0.8239151096773089	-1.4984313460174405	0.00992136018354417
cami3_toy_human_gut_gtdb_source_readmap	exact_hit_abund_ge_0.15	0,1,2	0.8159567931704953	0.8145695364238409	246	62	50	61.233597687407155	50.52920894617725	0.833836469860853	0.8465633133102163	61.233597687407155	0.833836469860853	62.732029033424595	0.8239151096773089	-1.4984313460174405	0.00992136018354417
cami3_toy_human_gut_gtdb_source_readmap	exact_hit_abund_ge_0.20	0,1,2	0.8159567931704953	0.8145695364238409	246	62	50	61.233597687407155	50.52920894617725	0.833836469860853	0.8465633133102163	61.233597687407155	0.833836469860853	62.732029033424595	0.8239151096773089	-1.4984313460174405	0.00992136018354417
cami3_toy_human_gut_gtdb_source_readmap	exact_hit_abund_ge_0.25	0,1,2	0.8159567931704953	0.8145695364238409	246	62	50	61.233597687407155	50.52920894617725	0.833836469860853	0.8465633133102163	61.233597687407155	0.833836469860853	62.732029033424595	0.8239151096773089	-1.4984313460174405	0.00992136018354417
cami3_toy_human_gut_gtdb_source_readmap	current_calibrated_abundance	0,1,2	0.8159567931704953	0.8145695364238409	246	62	50	62.732029033424595	51.832406366328804	0.8239151096773089	0.8366597306485986	62.732029033424595	0.8239151096773089	62.732029033424595	0.8239151096773089	0.0	0.0
cami3_toy_human_gut_gtdb_source_readmap	current_calibrated_raw	0,1,2	0.8159567931704953	0.8145695364238409	246	62	50	62.73202903342466	51.832406366328826	0.8239151096773086	0.8366597306485984	62.73202903342466	0.8239151096773086	62.732029033424595	0.8239151096773089	6.394884621840902e-14	-2.220446049250313e-16
cami3_toy_human_gut_gtdb_source_readmap	exact_hit_abund_ge_0.30	0,1,2	0.8159567931704953	0.8145695364238409	246	62	50	62.73202903342466	51.832406366328826	0.8239151096773086	0.8366597306485984	62.73202903342466	0.8239151096773086	62.732029033424595	0.8239151096773089	6.394884621840902e-14	-2.220446049250313e-16
