panel	method	samples	mean_F1	pooled_F1	pooled_TP	pooled_FP	pooled_FN	mean_delta_F1	min_delta_F1	worsened_samples	improved_samples	mean_official_L1_pp	mean_delta_official_L1_pp	max_worse_official_L1_pp	mean_official_Pearson	mean_delta_official_Pearson	current_panel_mean_F1	current_panel_pooled_F1	current_panel_L1_pp	current_panel_Pearson	delta_panel_mean_F1	delta_panel_pooled_F1	delta_panel_L1_pp	delta_panel_Pearson
cami2_toy_mouse_gut	drop_prob_lt_0.7_and_realaf_lt_0.3	5,6,7	0.8566247790747091	0.8314883148831489	338	8	129	-0.037213980965168224	-0.05806293018682407	2	0	13.998524045730894	0.23068692280433525	0.5319743292009846	0.9880185784830934	4.197075645554863e-05	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.03721398096516826	-0.04615874394038055	0.23068692280433645	4.1970756455400604e-05
cami2_toy_mouse_gut	drop_prob_lt_0.7_and_xny_lt_100	5,6,7	0.8847722439271735	0.8663484486873507	363	8	104	-0.00906651611270389	-0.01752136752136746	2	0	13.67889774543618	-0.08893937749037899	0.022887215048438492	0.987984365863818	7.758137180013946e-06	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.009066516112703926	-0.011298610136178722	-0.08893937749037839	7.758137180013946e-06
cami2_toy_mouse_gut	drop_prob_lt_0.7_and_xny_lt_200	5,6,7	0.8658542314906595	0.8428745432399513	346	8	121	-0.02798452854921792	-0.04423388402980244	2	0	13.72248346115216	-0.045353661774395114	0.08221282041077416	0.9880112973312701	3.468960463219132e-05	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.027984528549217846	-0.03477251558357819	-0.04535366177439748	3.4689604632154314e-05
cami2_toy_mouse_gut	drop_prob_lt_0.7_and_xny_lt_25	5,6,7	0.893600812595226	0.8773584905660378	372	9	95	-0.00023794744465136888	-0.0007138423339541067	1	0	13.722361057445076	-0.04547606548148112	0.0	0.9879774356755391	8.279489012164021e-07	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.0002379474446514429	-0.0002885682574916837	-0.04547606548148231	8.279489011053798e-07
cami2_toy_mouse_gut	drop_prob_lt_0.7_and_xny_lt_50	5,6,7	0.8944145459097809	0.8783943329397875	372	8	95	0.0005757858699034779	0.0	0	1	13.717064870967533	-0.050772251959022796	0.0	0.9879774356755391	8.279489012164021e-07	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	0.0005757858699034779	0.0007472741162580787	-0.05077225195902457	8.279489011053798e-07
cami2_toy_mouse_gut	drop_prob_lt_0.7_and_xny_lt_500	5,6,7	0.8298516390541003	0.808030112923463	322	8	145	-0.06398712098577708	-0.07581503659347988	3	0	15.82375125460662	2.055914131680062	3.1794380331695233	0.9881565019459101	0.00017989421927215124	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.06398712098577708	-0.0696169459000664	2.055914131680062	0.00017989421927211424
cami2_toy_mouse_gut	drop_prob_lt_0.7_and_zipaf_lt_0.1	5,6,7	0.8938387600398774	0.8776470588235294	373	10	94	0.0	0.0	0	0	13.767837122926558	0.0	0.0	0.987976607726638	0.0	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	0.0	0.0	0.0	0.0
cami2_toy_mouse_gut	drop_prob_lt_0.7_and_zipaf_lt_0.2	5,6,7	0.8917386152023025	0.8749999999999999	371	10	96	-0.0021001448375749985	-0.006300434512724995	1	0	13.667313911422875	-0.10052321150368175	0.0	0.9879808947784583	4.287051820317522e-06	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.0021001448375749243	-0.002647058823529558	-0.10052321150368293	4.287051820317522e-06
cami2_toy_mouse_gut	drop_prob_lt_0.7_and_zipaf_lt_0.3	5,6,7	0.8871889283900457	0.8693586698337292	366	9	101	-0.006649831649831683	-0.01994949494949505	1	0	13.653305170958797	-0.11453195196775923	0.0	0.9880025531978823	2.5945471244385548e-05	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.006649831649831683	-0.008288388989800222	-0.114531951967761	2.594547124434854e-05
cami2_toy_mouse_gut	drop_prob_lt_0.7_and_zipaf_lt_0.4	5,6,7	0.8733103531840042	0.8540410132689986	354	8	113	-0.020528406855873205	-0.033141762452107204	3	0	14.171796847919325	0.4039597249927687	0.8379489510999605	0.9879451826451974	-3.142508144060585e-05	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.020528406855873205	-0.02360604555453083	0.40395972499276667	-3.142508144060585e-05
