panel	sample	status	TP_delta	FP_delta	FN_delta	F1_delta	official_L1_delta_pp	official_Pearson_delta	method
hmp_airskin_gtdb_source_abundance	28	compared	0	0	0	0.0	-0.303844796638554	0.0012006711548327997	genus_xny_a0.25_cap0.005
hmp_gastrooral_gtdb_source_abundance	0	compared	0	0	0	0.0	0.26154376061127493	-0.0009013947566667291	genus_xny_a0.25_cap0.005
hmp_gastrooral_gtdb_source_abundance	6	compared	0	0	0	-1.1102230246251565e-16	-0.6139305715213368	0.004859504022992511	genus_xny_a0.25_cap0.005
cami2_toy_mouse_gut	5	compared	0	0	0	0.0	-0.3604516992112128	0.0001474939558435695	genus_xny_a0.25
cami2_toy_mouse_gut	6	compared	0	0	0	0.0	-0.12758318481140307	-0.00042499074776858325	genus_xny_a0.25
cami2_toy_mouse_gut	7	compared	0	0	0	1.1102230246251565e-16	0.019184822225343012	-0.00017045761872924725	genus_xny_a0.25
cami3_toy_human_gut_gtdb_source_readmap	0	compared	0	0	0	0.0	-0.21390354382198495	0.0005029658601811704	genus_xny_a0.25
cami3_toy_human_gut_gtdb_source_readmap	1	compared	0	0	0	0.0	-0.17829831225331816	0.000632800006745593	genus_xny_a0.25
cami3_toy_human_gut_gtdb_source_readmap	2	compared	0	0	0	0.0	-1.405164663904685	0.0008039224940219469	genus_xny_a0.25
hmp_airskin_gtdb_source_abundance	0	compared	0	0	0	0.0	-1.3083261671230133	0.0031075290921457333	genus_xny_a0.25
hmp_airskin_gtdb_source_abundance	1	compared	0	0	0	0.0	-0.6543682062985354	0.0002391601786195796	genus_xny_a0.25
hmp_airskin_gtdb_source_abundance	3	compared	0	0	0	1.1102230246251565e-16	-0.408982816650699	2.8854872328953896e-05	genus_xny_a0.25
hmp_airskin_gtdb_source_abundance	4	compared	0	0	0	0.0	-1.3042116430070543	0.0004981038952731609	genus_xny_a0.25
hmp_airskin_gtdb_source_abundance	5	compared	0	0	0	0.0	0.22047933832302924	-6.787075957503941e-05	genus_xny_a0.25
hmp_airskin_gtdb_source_abundance	6	compared	0	0	0	1.1102230246251565e-16	0.9934199183847312	-0.004356730943256837	genus_xny_a0.25
hmp_airskin_gtdb_source_abundance	7	compared	0	0	0	0.0	-1.908463929489141	0.0007935989082550332	genus_xny_a0.25
hmp_airskin_gtdb_source_abundance	9	compared	0	0	0	1.1102230246251565e-16	-3.660652842040335	0.002590859672079504	genus_xny_a0.25
hmp_airskin_gtdb_source_abundance	10	compared	0	0	0	-1.1102230246251565e-16	-0.22948079177677627	-0.0003395893207547296	genus_xny_a0.25
hmp_airskin_gtdb_source_abundance	11	compared	0	0	0	-1.1102230246251565e-16	0.03925777981450551	0.0016802246019942402	genus_xny_a0.25
