panel	sample	method	F1	official_L1_pp	official_Pearson	truth_mass_detected_pct	matched_abs_error_pp	missing_truth_mass_pp	extra_pred_mass_pp	abundance_feature_allocator_switch	abundance_feature_allocator_applied	abundance_feature_allocator_guard_passed	abundance_feature_allocator_method	abundance_feature_allocator_alpha	abundance_feature_allocator_target	abundance_feature_allocator_guard_feature	abundance_feature_allocator_guard_threshold	abundance_feature_allocator_base_mass_multi_genus_frac	abundance_feature_allocator_adjusted_rows_n	abundance_feature_allocator_rule	delta_L1_pp	delta_Pearson
hmp_airskin_gtdb_source_abundance	20	wrapper_guarded_genus_hit_breadth_a002	0.8216216216216216	25.44569040925414	0.990691574991529	96.21106500952466	12.720888427148777	3.7889349904753336	8.935866991630025	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.9394216065889625	70.0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved	-0.5072959498005716	0.0002092745650170702
hmp_airskin_gtdb_source_abundance	21	current_selected_abundance	0.8800000000000001	34.744967146761084	0.9626902136826683	99.99934878100618	18.167165307640385	0.0006512189938602438	16.57715062012684												0.0	0.0
hmp_airskin_gtdb_source_abundance	21	wrapper_guarded_genus_hit_breadth_a002	0.8800000000000001	34.26761244885609	0.9636825274116203	99.99934878100618	17.89668961023173	0.0006512189938602438	16.370271619630497	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.8703556009229598	30.0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved	-0.4773546979049925	0.0009923137289520323
hmp_airskin_gtdb_source_abundance	22	current_selected_abundance	0.6440677966101696	20.64859084035799	0.9885915958918304	99.99199473159993	12.048019847048904	0.00800526840008274	8.592565724909006												0.0	0.0
hmp_airskin_gtdb_source_abundance	22	wrapper_guarded_genus_hit_breadth_a002	0.6440677966101696	20.466947271732337	0.9888639972003835	99.99199473159993	11.954410400792353	0.00800526840008274	8.504531602539911	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.6578900133370159	18.0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved	-0.18164356862565256	0.0002724013085531052
hmp_airskin_gtdb_source_abundance	23	current_selected_abundance	0.8985507246376813	28.419231919115372	0.9844470248065242	92.67101285196624	17.005002667319918	7.328987148033696	4.085242103761757												0.0	0.0
hmp_airskin_gtdb_source_abundance	23	wrapper_guarded_genus_hit_breadth_a002	0.8985507246376813	28.36762944234799	0.9845682999349286	92.67101285196624	17.016271579210596	7.328987148033696	4.022370715103694	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.9079791170878567	26.0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved	-0.051602476767381944	0.00012127512840431898
hmp_airskin_gtdb_source_abundance	24	current_selected_abundance	0.9285714285714286	13.482402814139544	0.9950654879951978	98.93724559674386	11.78491226295063	1.062754403256151	0.6347361479327627												0.0	0.0
hmp_airskin_gtdb_source_abundance	24	wrapper_guarded_genus_hit_breadth_a002	0.9285714285714286	13.250167096974335	0.9952573936081847	98.93724559674386	11.558704010357276	1.062754403256151	0.6287086833609049	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.727914078856979	19.0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved	-0.2322357171652083	0.0001919056129868757
hmp_airskin_gtdb_source_abundance	25	current_selected_abundance	0.73015873015873	23.826526371447144	0.9845564248854467	97.64243614931257	12.436010587098949	2.357563850687434	9.03295193366077												0.0	0.0
hmp_airskin_gtdb_source_abundance	25	wrapper_guarded_genus_hit_breadth_a002	0.73015873015873	23.44862785344392	0.9849906448788704	97.64243614931257	12.20408446257338	2.357563850687434	8.886979540183116	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.9103335724031346	44.0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved	-0.3778985180032244	0.0004342199934237456
hmp_airskin_gtdb_source_abundance	28	current_selected_abundance	0.888888888888889	18.352633533107536	0.9890339281762488	99.99999999999999	10.977119798332401	0.0	7.375513734775134												0.0	0.0
hmp_airskin_gtdb_source_abundance	28	wrapper_guarded_genus_hit_breadth_a002	0.888888888888889	17.89475169312412	0.9894642726779382	99.99999999999999	10.6348935718559	0.0	7.25985812126822	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.8527438120087871	11.0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved	-0.4578818399834148	0.00043034450168943916
hmp_gastrooral_gtdb_source_abundance	0	current_selected_abundance	0.9565217391304348	14.879895462236432	0.9819928784641776	99.99815934959454	13.927146850287953	0.0018406504054777999	0.950907961542998												0.0	0.0
hmp_gastrooral_gtdb_source_abundance	0	wrapper_guarded_genus_hit_breadth_a002	0.9565217391304348	14.867497492943166	0.9818009734329874	99.99815934959454	13.912113519507189	0.0018406504054777999	0.9535433230305019	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.5318171705114869	11.0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved	-0.012397969293266087	-0.00019190503119015379
hmp_gastrooral_gtdb_source_abundance	6	current_selected_abundance	0.9090909090909091	77.83598901257044	0.8105695195652595	99.9969905671569	74.14758983512483	0.0030094328430971713	3.6853897446025274												0.0	0.0
hmp_gastrooral_gtdb_source_abundance	6	wrapper_guarded_genus_hit_breadth_a002	0.9090909090909091	77.59634070485748	0.8129096500750153	99.9969905671569	73.96182189735958	0.0030094328430971713	3.631509374654819	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.6375585038006877	30.0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved	-0.23964830771295453	0.002340130509755789
