sample	method	truth_gtdb_species	pred_gtdb_species	TP	FP	FN	precision	recall	F1	L1_union_pp	L1_truth_only_pp	Pearson_union	Pearson_truth_only	pred_rows_called
11	minco_genus_realloc_current_raw_power_p1.25	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	24.893529146710478	24.893529146710478	0.9365981218552674	0.9365981218552674	
11	minco_genus_realloc_xny	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	23.323439307313834	23.323439307313834	0.9436757937730613	0.9436757937730613	
11	minco_genus_realloc_breadth	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	25.62502735744454	25.62502735744454	0.9381000601370629	0.9381000601370629	
11	minco_genus_realloc_xny_breadth	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	27.534647362762225	27.534647362762225	0.9354512240739001	0.9354512240739001	
11	minco_genus_realloc_mutdiff_light	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	22.058888259098577	22.058888259098577	0.9422671629358673	0.9422671629358673	
11	minco_genus_realloc_mutdiff_strong	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	21.31674186524076	21.31674186524076	0.9504288136592249	0.9504288136592249	
11	minco_raw_p1.25_genus_realloc_mutdiff_light	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	26.672379526025903	26.672379526025903	0.9426936998948181	0.9426936998948181	
11	minco_raw_p1.25_genus_realloc_mutdiff_strong	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	26.41560960831386	26.41560960831386	0.9507619258827975	0.9507619258827975	
11	minco_raw_p1.25_genus_realloc_xny	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	28.79843918499907	28.79843918499907	0.9433117183232823	0.9433117183232823	
11	minco_raw_p1.5_genus_realloc_mutdiff_light	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	36.40783823665365	36.40783823665365	0.9395206892828352	0.9395206892828352	
11	minco_raw_p1.5_genus_realloc_mutdiff_strong	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	36.20636711214927	36.20636711214927	0.9474601913521716	0.9474601913521716	
11	minco_raw_p1.5_genus_realloc_xny	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	38.56418594006911	38.56418594006911	0.9398900977350718	0.9398900977350718	
11	minco_split_mean_over_zip_p0.25	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	23.665240942500652	23.665240942500652	0.9394778992759887	0.9394778992759887	
11	minco_unique_mean_over_zip_p0.25	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	60.41314448396749	60.41314448396749	0.7807880936666451	0.7807880936666451	
11	minco_current_raw_power_p0.25	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	94.2682889180794	94.2682889180794	0.8446935953009229	0.8446935953009229	
11	minco_split_mean_over_zip_p0.5	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	22.750696382756946	22.750696382756946	0.9409764964703522	0.9409764964703522	
11	minco_unique_mean_over_zip_p0.5	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	56.95775296982314	56.95775296982314	0.7989651476598467	0.7989651476598467	
11	minco_current_raw_power_p0.5	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	64.70841575527776	64.70841575527776	0.9129227636214908	0.9129227636214908	
11	minco_split_mean_over_zip_p0.75	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	22.311938303168372	22.311938303168372	0.9408246999144216	0.9408246999144216	
11	minco_unique_mean_over_zip_p0.75	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	53.26009904519602	53.26009904519602	0.8160684929453804	0.8160684929453804	
11	minco_current_raw_power_p0.75	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	38.56570581914758	38.56570581914758	0.9323566723932278	0.9323566723932278	
11	minco_split_mean_over_zip_p1	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	22.345748750639043	22.345748750639043	0.9390039844436855	0.9390039844436855	
11	minco_unique_mean_over_zip_p1	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	49.84708100522628	49.84708100522628	0.831913234390547	0.831913234390547	
11	minco_current_raw_power_p1	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	22.345748750639043	22.345748750639043	0.9390039844436855	0.9390039844436855	
11	minco_split_mean_over_zip_p1.25	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	22.92880538432035	22.92880538432035	0.9355122351064291	0.9355122351064291	
11	minco_unique_mean_over_zip_p1.25	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	47.73484393702737	47.73484393702737	0.8462694002904103	0.8462694002904103	
11	minco_current_raw_power_p1.25	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	26.92965116634175	26.92965116634175	0.9395481428110196	0.9395481428110196	
11	minco_split_mean_over_zip_p1.5	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	24.26999500023505	24.26999500023505	0.9303613023709169	0.9303613023709169	
11	minco_unique_mean_over_zip_p1.5	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	46.205032760654866	46.205032760654866	0.8588532009711934	0.8588532009711934	
11	minco_current_raw_power_p1.5	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	36.46949498406088	36.46949498406088	0.9364773907418665	0.9364773907418665	
11	sylph_r232_taxonomic_abundance	33	33	33	0	0	1.0	1.0	1.0	6.864304715532866	6.864304715532866	0.994159624664273	0.994159624664273	33.0
