panel	method	samples	sample_count	pooled_F1	mean_F1	mean_L1_union_pp	mean_Pearson_union	TP	FP	FN	rescued_TP	rescued_FP
cami3_source_readmap_extension_after_recovery	raw_ani0.93_xny500_breadth0.30_depth5	3,4,5	3	0.7015503875968994	0.6978731887746447	44.57919101805288	0.9185036521265321	181	43	111	2	2
cami3_source_readmap_extension_after_recovery	raw_ani0.93_xny500_breadth0.50	3,4,5	3	0.69921875	0.6951404891573879	44.57919101805288	0.9184820824877019	179	41	113	0	0
cami3_source_readmap_extension_after_recovery	raw_ani0.93_xny650_breadth0.05	3,4,5	3	0.7042801556420234	0.7005696058327637	44.57919101805288	0.9184820824877019	181	41	111	2	0
cami3_source_readmap_extension_after_recovery	raw_ani0.93_xny650_breadth0.10	3,4,5	3	0.7042801556420234	0.7005696058327637	44.57919101805288	0.9184820824877019	181	41	111	2	0
cami3_source_readmap_extension_after_recovery	raw_ani0.93_xny650_breadth0.20	3,4,5	3	0.7042801556420234	0.7005696058327637	44.57919101805288	0.9184820824877019	181	41	111	2	0
cami3_source_readmap_extension_after_recovery	raw_ani0.93_xny650_breadth0.20_depth2	3,4,5	3	0.7042801556420234	0.7005696058327637	44.57919101805288	0.9184820824877019	181	41	111	2	0
cami3_source_readmap_extension_after_recovery	raw_ani0.93_xny650_breadth0.20_depth5	3,4,5	3	0.7042801556420234	0.7005696058327637	44.57919101805288	0.9184820824877019	181	41	111	2	0
cami3_source_readmap_extension_after_recovery	raw_ani0.93_xny650_breadth0.30	3,4,5	3	0.7042801556420234	0.7005696058327637	44.57919101805288	0.9184820824877019	181	41	111	2	0
cami3_source_readmap_extension_after_recovery	raw_ani0.93_xny650_breadth0.30_depth2	3,4,5	3	0.7042801556420234	0.7005696058327637	44.57919101805288	0.9184820824877019	181	41	111	2	0
cami3_source_readmap_extension_after_recovery	raw_ani0.93_xny650_breadth0.30_depth5	3,4,5	3	0.7042801556420234	0.7005696058327637	44.57919101805288	0.9184820824877019	181	41	111	2	0
cami3_source_readmap_extension_after_recovery	raw_ani0.93_xny650_breadth0.50	3,4,5	3	0.69921875	0.6951404891573879	44.57919101805288	0.9184820824877019	179	41	113	0	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny100_breadth0.05	3,4,5	3	0.7042801556420234	0.7011425956659222	44.57919101805288	0.9184820824877019	181	41	111	2	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny100_breadth0.10	3,4,5	3	0.7042801556420234	0.7011425956659222	44.57919101805288	0.9184820824877019	181	41	111	2	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny100_breadth0.20	3,4,5	3	0.7017543859649124	0.6981612861830647	44.57919101805288	0.9184820824877019	180	41	112	1	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny100_breadth0.30	3,4,5	3	0.7017543859649124	0.6981612861830647	44.57919101805288	0.9184820824877019	180	41	112	1	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny100_breadth0.50	3,4,5	3	0.69921875	0.6951404891573879	44.57919101805288	0.9184820824877019	179	41	113	0	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny250_breadth0.05	3,4,5	3	0.7042801556420234	0.7011425956659222	44.57919101805288	0.9184820824877019	181	41	111	2	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny250_breadth0.10	3,4,5	3	0.7042801556420234	0.7011425956659222	44.57919101805288	0.9184820824877019	181	41	111	2	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny250_breadth0.20	3,4,5	3	0.7017543859649124	0.6981612861830647	44.57919101805288	0.9184820824877019	180	41	112	1	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny250_breadth0.30	3,4,5	3	0.7017543859649124	0.6981612861830647	44.57919101805288	0.9184820824877019	180	41	112	1	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny250_breadth0.50	3,4,5	3	0.69921875	0.6951404891573879	44.57919101805288	0.9184820824877019	179	41	113	0	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny500_breadth0.05	3,4,5	3	0.7017543859649124	0.6981612861830647	44.57919101805288	0.9184820824877019	180	41	112	1	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny500_breadth0.10	3,4,5	3	0.7017543859649124	0.6981612861830647	44.57919101805288	0.9184820824877019	180	41	112	1	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny500_breadth0.20	3,4,5	3	0.7017543859649124	0.6981612861830647	44.57919101805288	0.9184820824877019	180	41	112	1	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny500_breadth0.20_depth2	3,4,5	3	0.7017543859649124	0.6981612861830647	44.57919101805288	0.9184820824877019	180	41	112	1	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny500_breadth0.20_depth5	3,4,5	3	0.7017543859649124	0.6981612861830647	44.57919101805288	0.9184820824877019	180	41	112	1	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny500_breadth0.30	3,4,5	3	0.7017543859649124	0.6981612861830647	44.57919101805288	0.9184820824877019	180	41	112	1	0
cami3_source_readmap_extension_after_recovery	raw_ani0.95_xny500_breadth0.30_depth2	3,4,5	3	0.7017543859649124	0.6981612861830647	44.57919101805288	0.9184820824877019	180	41	112	1	0
