panel	sample	method	delta_F1	delta_L1_union_pp	delta_Pearson_union	TP_delta	FP_delta	FN_delta	rescued_species	rescued_TP	rescued_FP
hmp_airskin_gtdb_source_abundance	24	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.03827751196172258	-0.42664038252987346	0.00047843124407509485	2	0	-2	0	0	0
hmp_airskin_gtdb_source_abundance	25	wrapper_accession-current-or-ani93-xny650-br20_zero	0.010158730158730034	0.0	0.0	1	0	-1	0	0	0
hmp_airskin_gtdb_source_abundance	25	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.010158730158730034	-0.05030349346001728	8.037244487513195e-05	1	0	-1	0	0	0
hmp_airskin_gtdb_source_abundance	28	wrapper_accession-current-or-ani93-xny650-br20_zero	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_gtdb_source_abundance	28	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_omitted_gtdb_source_abundance	2	wrapper_accession-current-or-ani93-xny650-br20_zero	0.004465709728867617	0.0	0.0004458881030976469	1	1	-1	0	0	0
hmp_airskin_omitted_gtdb_source_abundance	2	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.004465709728867617	-2.315293724366775	0.0245013715978446	1	1	-1	0	0	0
hmp_airskin_omitted_gtdb_source_abundance	8	wrapper_accession-current-or-ani93-xny650-br20_zero	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_omitted_gtdb_source_abundance	8	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_omitted_gtdb_source_abundance	12	wrapper_accession-current-or-ani93-xny650-br20_zero	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_omitted_gtdb_source_abundance	12	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_omitted_gtdb_source_abundance	26	wrapper_accession-current-or-ani93-xny650-br20_zero	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_omitted_gtdb_source_abundance	26	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_omitted_gtdb_source_abundance	27	wrapper_accession-current-or-ani93-xny650-br20_zero	0.011298988621997408	-0.3010591165827492	-3.9144946540670134e-05	2	0	-2	0	0	0
hmp_airskin_omitted_gtdb_source_abundance	27	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.011298988621997408	0.26997900288343857	0.0001482484866452971	2	0	-2	0	0	0
hmp_gastrooral_gtdb_source_abundance	0	wrapper_accession-current-or-ani93-xny650-br20_zero	0.01534526854219953	-3.552713678800501e-15	0.0	1	0	-1	0	0	0
hmp_gastrooral_gtdb_source_abundance	0	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.01534526854219953	-5.021026640292957	0.027063435780136702	1	0	-1	0	0	0
