method	panel	sample	source_profile	adjusted_profile	alpha	cap_sample_base_frac	called_rows	candidate_added_rows	eligible_base_rows	adjusted_base_rows	capped_genus_count	min_effective_alpha	base_raw_mass_before	base_raw_mass_after	candidate_raw_mass_before	candidate_raw_mass_after	called_raw_mass_before	called_raw_mass_after
genus_xny_a0.05	hmp_airskin_gtdb_source_abundance	13	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample13.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.05/hmp_airskin_gtdb_source_abundance.sample13.genus_xny_a0.05.tsv	0.05		40	0	40	32	0	0.05	73.84212257489807	73.84212257489807	0.0	0.0	73.84212257489807	73.84212257489807
genus_xny_a0.05	hmp_airskin_gtdb_source_abundance	14	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample14.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.05/hmp_airskin_gtdb_source_abundance.sample14.genus_xny_a0.05.tsv	0.05		32	2	30	14	0	0.05	690.5499292614517	690.5499292614513	4.808989707376749	4.808989707376749	695.3589189688282	695.3589189688282
genus_xny_a0.05	hmp_airskin_gtdb_source_abundance	15	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample15.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.05/hmp_airskin_gtdb_source_abundance.sample15.genus_xny_a0.05.tsv	0.05		24	2	22	15	0	0.05	670.5257898257688	670.5257898257688	3.7965170219935023	3.7965170219935023	674.3223068477622	674.3223068477623
genus_xny_a0.05	hmp_airskin_gtdb_source_abundance	16	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample16.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.05/hmp_airskin_gtdb_source_abundance.sample16.genus_xny_a0.05.tsv	0.05		10	0	10	6	0	0.05	700.4183300548	700.4183300548001	0.0	0.0	700.4183300548	700.4183300548001
genus_xny_a0.05	hmp_airskin_gtdb_source_abundance	17	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample17.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.05/hmp_airskin_gtdb_source_abundance.sample17.genus_xny_a0.05.tsv	0.05		73	0	73	54	0	0.05	765.7900750735467	765.7900750735467	0.0	0.0	765.7900750735467	765.7900750735467
genus_xny_a0.05	hmp_airskin_gtdb_source_abundance	18	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample18.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.05/hmp_airskin_gtdb_source_abundance.sample18.genus_xny_a0.05.tsv	0.05		27	1	26	13	0	0.05	770.2414630299387	770.2414630299387	4.602962983066915	4.602962983066915	774.8444260130057	774.8444260130057
genus_xny_a0.05	hmp_airskin_gtdb_source_abundance	19	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample19.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.05/hmp_airskin_gtdb_source_abundance.sample19.genus_xny_a0.05.tsv	0.05		151	4	147	92	0	0.05	861.9825544299003	861.9825544299002	9.08702008880001	9.08702008880001	871.0695745187003	871.0695745187003
genus_xny_a0.05	hmp_airskin_gtdb_source_abundance	20	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample20.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.05/hmp_airskin_gtdb_source_abundance.sample20.genus_xny_a0.05.tsv	0.05		106	0	106	66	0	0.05	724.4890725705683	724.4890725705684	0.0	0.0	724.4890725705683	724.4890725705684
genus_xny_a0.05	hmp_airskin_gtdb_source_abundance	21	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample21.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.05/hmp_airskin_gtdb_source_abundance.sample21.genus_xny_a0.05.tsv	0.05		41	0	41	29	0	0.05	391.7033044552195	391.70330445521955	0.0	0.0	391.7033044552195	391.70330445521955
genus_xny_a0.05	hmp_airskin_gtdb_source_abundance	22	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample22.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.05/hmp_airskin_gtdb_source_abundance.sample22.genus_xny_a0.05.tsv	0.05		38	0	38	17	0	0.05	848.8703787107715	848.8703787107717	0.0	0.0	848.8703787107715	848.8703787107717
