method	panel_count	sample_count	mean_delta_F1	min_delta_F1	improved_samples	worsened_samples	mean_panel_delta_F1	min_panel_delta_F1	improved_panels	worsened_panels	mean_delta_L1_pp	max_worse_L1_pp	mean_delta_Pearson	decision
min_xny_ge_100	4	32	0.005028642970785927	-0.2670604198260038	15	12	-0.07955415362707202	-0.2666870130388952	2	2	-3.3318150589375404	2.3168007261363783	0.00251144350215075	f1_tradeoff_not_default
drop_prob_lt_0.7_and_xny_lt_500	4	32	0.010183178367651449	-0.18875405502823495	14	15	-0.03893115482159601	-0.1568745647643186	2	2	-3.7185046985740238	3.1794380331695233	0.00335106607399472	f1_tradeoff_not_default
drop_prob_lt_0.7_and_breadth_lt_0.3	4	32	0.00565780586693054	-0.19698389192783095	11	18	-0.04156087323557811	-0.15864174081676596	2	2	-3.319987987681346	1.8682033063162145	0.002887077004838038	f1_tradeoff_not_default
prob_ge_0.5	4	32	0.003823004071810899	-0.13540275923453493	10	18	-0.030821508762998967	-0.10252615009492638	1	3	-0.09034570256025892	8.986113897046753	-0.000633404490957952	f1_tradeoff_not_default
max_depth_cv_le_100	4	32	0.0	0.0	0	0	0.0	0.0	0	0	0.0	0.0	0.0	worse_or_equal
max_depth_cv_le_50	4	32	0.0	0.0	0	0	0.0	0.0	0	0	0.0	0.0	0.0	worse_or_equal
max_hit_mean_depth_ge_0.5	4	32	0.0	0.0	0	0	0.0	0.0	0	0	0.0	0.0	0.0	worse_or_equal
max_hit_mean_depth_ge_1	4	32	0.0	0.0	0	0	0.0	0.0	0	0	0.0	0.0	0.0	worse_or_equal
drop_prob_lt_0.5_and_zipaf_lt_0.1	4	32	-0.0011430485006582586	-0.03703423013767848	5	3	-0.005216209498840302	-0.022103740946076367	1	1	-0.43384462209901076	0.0	0.0005536417874189882	worse_or_equal
drop_prob_lt_0.95_and_zipaf_lt_0.1	4	32	-0.0013640861825453335	-0.045207307060755264	6	3	-0.006034380786916982	-0.025507133223932277	1	1	-0.5077723117637897	0.0	0.0006786707436467893	worse_or_equal
drop_prob_lt_0.9_and_zipaf_lt_0.1	4	32	-0.0013640861825453335	-0.045207307060755264	6	3	-0.006034380786916982	-0.025507133223932277	1	1	-0.5077723117637897	0.0	0.0006786707436467893	worse_or_equal
max_zip_af_ge_0.1	4	32	-0.0013640861825453335	-0.045207307060755264	6	3	-0.006034380786916982	-0.025507133223932277	1	1	-0.5077723117637897	0.0	0.0006786707436467893	worse_or_equal
max_zip_af_ge_0.05	4	32	-0.0016218575039517978	-0.04316692905388242	4	3	-0.005822988462578033	-0.024147973918144383	1	1	-0.42509298445822885	0.0	0.000644570878817901	worse_or_equal
drop_prob_lt_0.7_and_zipaf_lt_0.1	4	32	-0.0016355617820104744	-0.0493631792541922	6	3	-0.006758315718824043	-0.02840287295156052	1	1	-0.4741998215813997	0.0	0.0006559819068560138	worse_or_equal
s_zip_af_ge_0.05	4	32	-0.001666396553596395	-0.07972307282652102	10	4	-0.01612403271818713	-0.07012344548977856	1	2	-1.1327561542328264	0.0	0.0011300537047090747	worse_or_equal
drop_ani_lt_0.95_and_breadth_lt_0.05	4	32	-0.011520880741447585	-0.21256010147193305	12	4	-0.04670857422322039	-0.18236032514322598	1	2	-1.150049894818646	0.0	0.0011015955164631643	worse_or_equal
s_zip_af_ge_0.1	4	32	-0.00020203549160664053	-0.0959094249244754	11	5	-0.01947386429977746	-0.08448714562037996	1	2	-2.104173734564452	0.0	0.002193628372672632	worse_or_equal
drop_ani_lt_0.96_and_breadth_lt_0.05	4	32	-0.012515627541046941	-0.21256010147193305	11	6	-0.04778981123298476	-0.18236032514322598	1	2	-1.150190322803438	0.028078614650652867	0.0011008831050124124	worse_or_equal
drop_ani_lt_0.97_and_breadth_lt_0.05	4	32	-0.012770840730210821	-0.21256010147193305	11	6	-0.04812770703297231	-0.18236032514322598	1	2	-1.1496231866411262	0.028078614650652867	0.0011007988731193304	worse_or_equal
drop_ani_lt_0.98_and_breadth_lt_0.05	4	32	-0.012879833442339922	-0.21256010147193305	11	6	-0.04841835426531657	-0.18236032514322598	1	2	-1.1486917497063112	0.028078614650652867	0.001100794496993105	worse_or_equal
max_ani_ge_0.95	4	32	-0.0007066724627138865	-0.07133435624108331	12	7	-0.014540436064571088	-0.05030487566353026	1	2	-1.4318680694491661	1.0567385055365577	0.0019012408740940248	worse_or_equal
drop_ani_lt_0.95_and_breadth_lt_0.1	4	32	-0.016204981168946097	-0.26980341604898483	12	7	-0.06483833716269832	-0.23790121727832814	2	2	-2.315705318150005	0.11705400251215181	0.002252658011878253	worse_or_equal
drop_ani_lt_0.96_and_breadth_lt_0.1	4	32	-0.01791369892353206	-0.26980341604898483	12	7	-0.06777991359090932	-0.23790121727832814	2	2	-2.3094369364131717	0.11705400251215181	0.0022519327393462005	worse_or_equal
drop_ani_lt_0.97_and_breadth_lt_0.1	4	32	-0.019337363087081456	-0.26980341604898483	12	7	-0.07086658539294338	-0.23790121727832814	2	2	-2.3020711664287705	0.12719866995951534	0.0022517359904879637	worse_or_equal
drop_ani_lt_0.98_and_breadth_lt_0.1	4	32	-0.02020236325610925	-0.26980341604898483	12	7	-0.0727710329148688	-0.23790121727832814	2	2	-2.2981343689355893	0.22154061836383576	0.002251629352480737	worse_or_equal
reported_ani_ge_0.93	4	32	-0.0616737223206005	-0.8472906403940886	13	7	-0.20231704815105647	-0.8159567931704953	2	2	0.2285484694473472	49.92395499605569	0.0025405030431372394	worse_or_equal
