panel	method	samples	sample_count	pooled_TP	pooled_FP	pooled_FN	pooled_F1	mean_L1_union_pp	mean_Pearson_union	mean_added_mass_before_norm
hmp_airskin_gtdb_source_abundance	normalized_depth_cap0.01	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.473015405134475	0.9810226338545261	0.0009699999999999999
hmp_airskin_gtdb_source_abundance	normalized_depth_cap0.02	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.473015405134475	0.9810226338545261	0.0009699999999999999
hmp_airskin_gtdb_source_abundance	normalized_depth_cap0.05	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.473015405134475	0.9810226338545261	0.0009699999999999999
hmp_airskin_gtdb_source_abundance	xny_share_alpha0.05	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.487636495422958	0.9809794690461935	0.0007363633238218113
hmp_airskin_gtdb_source_abundance	xny_share_alpha0.1	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.45847307306894	0.9810263809186655	0.0014727266476436227
hmp_airskin_gtdb_source_abundance	xny_share_alpha0.25	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.426295049923993	0.9811157791761355	0.0036818166191090553
hmp_airskin_gtdb_source_abundance	xny_share_alpha0.25_cap0.001	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.51082477535844	0.980960434465555	0.0005
hmp_airskin_gtdb_source_abundance	xny_share_alpha0.25_cap0.003	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.472943669616768	0.9810109054587762	0.0013849111938640246
hmp_airskin_gtdb_source_abundance	xny_share_alpha0.25_cap0.005	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.45610813251402	0.9810435754218446	0.002051577860530691
hmp_airskin_gtdb_source_abundance	xny_share_alpha0.25_cap0.01	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.422288472080965	0.9811001263265079	0.0033021050937141645
hmp_airskin_gtdb_source_abundance	xny_share_alpha0.25_cap0.02	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.426295049923993	0.9811157791761355	0.0036818166191090553
hmp_airskin_gtdb_source_abundance	xny_share_alpha0.25_cap0.05	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.426295049923993	0.9811157791761355	0.0036818166191090553
hmp_airskin_gtdb_source_abundance	xny_share_alpha0.5	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.712654268508686	0.9810911617916777	0.007363633238218111
hmp_airskin_gtdb_source_abundance	xny_share_alpha0.5_cap0.001	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.51082477535844	0.980960434465555	0.0005
hmp_airskin_gtdb_source_abundance	xny_share_alpha0.5_cap0.003	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.48163660214721	0.9810131718353761	0.0015000000000000002
hmp_airskin_gtdb_source_abundance	xny_share_alpha0.5_cap0.005	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.48976535448921	0.9810412698240002	0.0024336300561647087
hmp_airskin_gtdb_source_abundance	xny_share_alpha0.5_cap0.01	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.49342848763905	0.9810856094784687	0.004103155721061382
hmp_airskin_gtdb_source_abundance	xny_share_alpha0.5_cap0.02	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.60264191994598	0.9811015537684843	0.006604210187428329
hmp_airskin_gtdb_source_abundance	xny_share_alpha0.5_cap0.05	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.712654268508686	0.9810911617916777	0.007363633238218111
hmp_airskin_gtdb_source_abundance	xny_share_alpha1	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	23.638552481315454	0.9803791857126267	0.014727266476436221
hmp_airskin_gtdb_source_abundance	xny_share_alpha10	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	37.65115536499271	0.8896347984868295	0.14727266476436227
hmp_airskin_gtdb_source_abundance	xny_share_alpha1_cap0.001	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.51082477535844	0.980960434465555	0.0005
hmp_airskin_gtdb_source_abundance	xny_share_alpha1_cap0.003	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.48163660214721	0.9810131718353761	0.0015000000000000002
hmp_airskin_gtdb_source_abundance	xny_share_alpha1_cap0.005	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.49336768761656	0.9810391564181257	0.0025
hmp_airskin_gtdb_source_abundance	xny_share_alpha1_cap0.01	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.585077481228893	0.9810081314576132	0.0048672601123294175
hmp_airskin_gtdb_source_abundance	xny_share_alpha1_cap0.02	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.805587173787842	0.9809354139324755	0.008206311442122765
hmp_airskin_gtdb_source_abundance	xny_share_alpha1_cap0.05	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	23.600221026514756	0.9804240058600037	0.01445842037485666
hmp_airskin_gtdb_source_abundance	xny_share_alpha2	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	25.50551438811465	0.9763310380130138	0.029454532952872443
hmp_airskin_gtdb_source_abundance	xny_share_alpha2_cap0.001	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.51082477535844	0.980960434465555	0.0005
hmp_airskin_gtdb_source_abundance	xny_share_alpha2_cap0.003	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.48163660214721	0.9810131718353761	0.0015000000000000002
hmp_airskin_gtdb_source_abundance	xny_share_alpha2_cap0.005	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.49336768761656	0.9810391564181257	0.0025
hmp_airskin_gtdb_source_abundance	xny_share_alpha2_cap0.01	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.602643874613417	0.9809866822566677	0.005
hmp_airskin_gtdb_source_abundance	xny_share_alpha2_cap0.02	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	23.004523292682023	0.9804940219636302	0.009734520224658835
hmp_airskin_gtdb_source_abundance	xny_share_alpha2_cap0.05	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	24.196084062685745	0.9792463226749203	0.019353397466037616
