method	sample_key	dataset	gold_taxa	pred_taxa	TP	FP	FN	precision	recall	F1	FP_plus_FN	L1	Pearson	tp_abundance_n	added	abundance_mode	source	p_extra	count_ratio	base_n	prob035_n	old_mode	median_uaf	tail_rule_triggered	tail_rescue_added_n	tail_rescue_median_uaf_threshold	tail_rescue_probability_threshold	prob_min	s_xny_min	s_ani_min	s_af_min	s_breadth_min	s_mean_depth_min	topn_per_genus
loose_cami3_split_rescue_tail_safe	airskin_airways11	hmp_airways	34	49	29	20	5	0.5918367346938775	0.8529411764705882	0.6987951807228915	25	0.625066535024569	0.8158717334035734	29	0	tail_safe	cached20	0.023839244825817153	1.4411764705882353	34	49	probability	0.5235000000000001	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_zip_p025	airskin_airways11	hmp_airways	34	49	29	20	5	0.5918367346938775	0.8529411764705882	0.6987951807228915	25	0.6423387779806936	0.784266694945629	29	0	zip_p025	cached20	0.023839244825817153	1.4411764705882353	34	49	probability	0.5235000000000001	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
baseline_tail_low_uaf_probability	cami3_toy_human_gut0	cami3_toy_human_gut	108	94	85	9	23	0.9042553191489362	0.7870370370370371	0.8415841584158417	32	0.5883945295142929	0.9602957799590929	85	0	tail_safe	cami3_current	0.1330636121708605	1.8431372549019607	51	94	probability	0.211	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_tail_safe	cami3_toy_human_gut0	cami3_toy_human_gut	108	99	85	14	23	0.8585858585858586	0.7870370370370371	0.821256038647343	37	0.6108269225150429	0.9602957799590933	85	5	tail_safe	cami3_current	0.1330636121708605	1.8431372549019607	51	94	probability	0.211	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_zip_p025	cami3_toy_human_gut0	cami3_toy_human_gut	108	99	85	14	23	0.8585858585858586	0.7870370370370371	0.821256038647343	37	0.7332680747959435	0.9632729867885864	85	5	zip_p025	cami3_current	0.1330636121708605	1.8431372549019607	51	94	probability	0.211	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
baseline_tail_low_uaf_probability	cami3_toy_human_gut1	cami3_toy_human_gut	115	99	92	7	23	0.9292929292929293	0.8	0.8598130841121495	30	0.543692771400492	0.9301090479062084	92	0	tail_safe	cami3_current	0.12352459331793049	1.65	60	99	probability	0.1985	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_tail_safe	cami3_toy_human_gut1	cami3_toy_human_gut	115	103	92	11	23	0.8932038834951457	0.8	0.8440366972477065	34	0.5633976352799869	0.930109047906208	92	4	tail_safe	cami3_current	0.12352459331793049	1.65	60	99	probability	0.1985	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_zip_p025	cami3_toy_human_gut1	cami3_toy_human_gut	115	103	92	11	23	0.8932038834951457	0.8	0.8440366972477065	34	0.6131409790290936	0.9321276450369007	92	4	zip_p025	cami3_current	0.12352459331793049	1.65	60	99	probability	0.1985	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
baseline_tail_low_uaf_probability	cami3_toy_human_gut2	cami3_toy_human_gut	119	115	102	13	17	0.8869565217391304	0.8571428571428571	0.8717948717948718	30	0.7004108900882978	0.9475758701074597	102	0	tail_safe	cami3_current	0.2831124481656649	2.25	48	108	rescue	0.16299999999999998	True	66	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_tail_safe	cami3_toy_human_gut2	cami3_toy_human_gut	119	117	102	15	17	0.8717948717948718	0.8571428571428571	0.864406779661017	32	0.7139816127145968	0.9475758701074597	102	2	tail_safe	cami3_current	0.2831124481656649	2.25	48	108	rescue	0.16299999999999998	True	66	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
