method	sample_count	mean_sample_L1_delta_pp	max_sample_worse_L1_delta_pp	improved_samples	worsened_samples	panel_count	mean_panel_L1_delta_pp	max_panel_worse_L1_delta_pp	improved_panels	worsened_panels	mean_Pearson_delta
genus_raw_xny_a0.1	32	-0.3824807466746547	0.16170515418505005	28	4	4	-0.2597826123510224	-0.1473736932199016	4	0	0.000583559845088899
genus_raw_realaf_a0.05	32	-0.20551216582561221	0.06179472640785377	28	4	4	-0.14159694790470617	-0.08157499758274778	4	0	0.00030251501697995883
genus_raw_xny_a0.05	32	-0.20551216582561221	0.06179472640785377	28	4	4	-0.14159694790470617	-0.08157499758274778	4	0	0.00030251501697995883
genus_raw_prob_a0.05	32	-0.11383459086840847	0.04904535231282381	28	4	4	-0.08103673340314427	-0.026186385180010596	4	0	0.00018476553618901673
genus_raw_realaf_a0.02	32	-0.08502959583397993	0.018825255558990506	28	4	4	-0.05831146242670585	-0.03262999903309982	4	0	0.00012360092369217632
genus_raw_xny_a0.02	32	-0.08502959583397993	0.018825255558990506	28	4	4	-0.05831146242670585	-0.03262999903309982	4	0	0.00012360092369217632
genus_raw_prob_a0.02	32	-0.04571014790133904	0.019618140925128813	28	4	4	-0.032542555231341044	-0.010474554072009035	4	0	7.525792441939044e-05
genus_raw_prob_a0.01	32	-0.022889080404620954	0.00980907046256263	28	4	4	-0.016282613100321308	-0.005237277035987198	4	0	3.785493122443126e-05
genus_raw_prob_a0.005	32	-0.011444540202310532	0.004904535231275986	28	4	4	-0.00814130655016242	-0.002618638518002925	4	0	1.8984022003228768e-05
genus_raw_norm_depth_a0.25	32	-2.0571167104776458	1.9892785621072555	27	5	4	-1.1862575234050736	-0.4874716590599988	4	0	0.0023465760127757695
global_raw_realaf_a0.1	32	-0.7285983393697022	0.8259990627319382	27	5	4	-0.5543133696002075	0.20754499792517933	3	1	0.0007054612347277001
global_raw_xny_a0.1	32	-0.7285983393697022	0.8259990627319382	27	5	4	-0.5543133696002075	0.20754499792517933	3	1	0.0007054612347277001
global_raw_realaf_a0.05	32	-0.3836408460298437	0.27436718049647624	27	5	4	-0.308378007065548	-0.005419613084663766	4	0	0.0003788153151471525
global_raw_xny_a0.05	32	-0.3836408460298437	0.27436718049647624	27	5	4	-0.308378007065548	-0.005419613084663766	4	0	0.0003788153151471525
genus_raw_prob_a0.1	32	-0.21432932910506025	0.1411944454523475	27	5	4	-0.1554778413265035	-0.05199931431686711	4	0	0.00035833519686638907
global_raw_norm_depth_a0.005	32	-0.18111041033212663	0.115612824537628	27	5	4	-0.14018400271771536	-0.009888238461745876	4	0	0.00011710579136689492
global_raw_hit_breadth_a0.005	32	-0.1773980566114357	0.17850879024456745	27	5	4	-0.13682961296244223	-0.007895664528545213	4	0	0.00011371641897475054
global_raw_mean_breadth_a0.005	32	-0.17621458082208033	0.15795040909500102	27	5	4	-0.13423161159193586	0.005214532012653983	3	1	9.498794882514469e-05
global_raw_realaf_a0.02	32	-0.16186997172625225	0.06319200412347037	27	5	4	-0.14037976643655792	-0.00902618283496981	4	0	0.00015795551250061268
global_raw_xny_a0.02	32	-0.16186997172625225	0.06319200412347037	27	5	4	-0.14037976643655792	-0.00902618283496981	4	0	0.00015795551250061268
global_raw_realaf_a0.01	32	-0.08169093294843646	0.03159600206173341	27	5	4	-0.07177220828163183	-0.004513091417497783	4	0	8.006373865469471e-05
global_raw_xny_a0.01	32	-0.08169093294843646	0.03159600206173341	27	5	4	-0.07177220828163183	-0.004513091417497783	4	0	8.006373865469471e-05
global_raw_prob_a0.02	32	-0.07958375418307165	0.08847924654659067	27	5	4	-0.05513261594449649	0.00878277794062221	3	1	8.403569750558074e-05
global_raw_realaf_a0.005	32	-0.04088197442859792	0.01579800103087159	27	5	4	-0.035949395182516775	-0.002256545708756441	4	0	4.0304732230961315e-05
global_raw_xny_a0.005	32	-0.04088197442859792	0.01579800103087159	27	5	4	-0.035949395182516775	-0.002256545708756441	4	0	4.0304732230961315e-05
global_raw_prob_a0.01	32	-0.03982162137249576	0.044239623273281126	27	5	4	-0.027603543585930243	0.004391388970291565	3	1	4.248312748248925e-05
global_raw_prob_a0.005	32	-0.019931183754029774	0.02211981163664234	27	5	4	-0.013835883668905119	0.0021956944851648785	3	1	2.1358180255504067e-05
genus_raw_mean_breadth_a0.25	32	-1.8488309587253966	3.0996130795413634	26	6	4	-0.9980283776543679	-0.33819486445114916	4	0	0.001756735813465575
genus_raw_mean_breadth_a0.1	32	-1.3342369530082099	0.5171492175267964	26	6	4	-0.7372102974443562	-0.34343419357463745	4	0	0.0013135227768037126
genus_raw_realaf_a0.25	32	-0.7980932139885119	0.46229084875697524	26	6	4	-0.5375105477930893	-0.15628335393280915	4	0	0.0013008140776311246
genus_raw_xny_a0.25	32	-0.7980932139885119	0.46229084875697524	26	6	4	-0.5375105477930893	-0.15628335393280915	4	0	0.0013008140776311246
global_raw_prob_a0.25	32	-0.7972213243113621	1.5055321931214696	26	6	4	-0.4578650732244667	0.3616953918384036	2	2	0.0007934696931598643
genus_raw_prob_a0.25	32	-0.4791564600784659	0.8166228611461275	26	6	4	-0.33589335279015375	-0.12678771451073256	4	0	0.0008131487686103521
global_raw_prob_a0.1	32	-0.3631828657651903	0.4758299863213189	26	6	4	-0.23366657151696857	0.11051222760905866	3	1	0.00038351860882150646
global_raw_prob_a0.05	32	-0.1923564739407814	0.23039428519567906	26	6	4	-0.12924931797202627	0.03962885601771671	3	1	0.00020315725839346183
