route	rule	pooled_F1	base_pooled_F1	delta_pooled_F1	mean_delta_F1	worsened_samples	improved_samples	TP	FP	FN	added_species	added_TP	added_FP
marine_setup_truth_profile_rescore	raw_ani0.95_xny250_breadth0.05	0.8099847172694855	0.7808292945611202	0.029155422708365353	0.028891697894224227	0	3	795	218	155	106	70	36
marine_setup_truth_profile_rescore	raw_ani0.95_xny250_breadth0.10	0.8099847172694855	0.7808292945611202	0.029155422708365353	0.028891697894224227	0	3	795	218	155	106	70	36
marine_setup_truth_profile_rescore	raw_ani0.95_xny250_breadth0.20	0.8124680633622893	0.7808292945611202	0.031638768801169115	0.03135624830894235	0	3	795	212	155	100	70	30
marine_setup_truth_profile_rescore	raw_ani0.95_xny250_breadth0.30	0.8066184074457083	0.7808292945611202	0.025789112884588183	0.025694144124430347	0	3	780	204	170	77	55	22
marine_setup_truth_profile_rescore	raw_ani0.95_xny250_breadth0.50	0.7978835978835979	0.7808292945611202	0.017054303322477704	0.017166846442544886	0	3	754	186	196	33	29	4
marine_setup_truth_profile_rescore	raw_ani0.95_xny500_breadth0.05	0.793103448275862	0.7808292945611202	0.012274153714741831	0.011996122392888867	0	3	759	205	191	57	34	23
marine_setup_truth_profile_rescore	raw_ani0.95_xny500_breadth0.10	0.793103448275862	0.7808292945611202	0.012274153714741831	0.011996122392888867	0	3	759	205	191	57	34	23
marine_setup_truth_profile_rescore	raw_ani0.95_xny500_breadth0.20	0.7939330543933053	0.7808292945611202	0.013103759832185147	0.012846144381525981	0	3	759	203	191	55	34	21
marine_setup_truth_profile_rescore	raw_ani0.95_xny500_breadth0.20_depth2	0.7891949152542372	0.7808292945611202	0.008365620693117082	0.008448012510993622	0	3	745	193	205	31	20	11
marine_setup_truth_profile_rescore	raw_ani0.95_xny500_breadth0.20_depth5	0.7824222936763129	0.7808292945611202	0.001592999115192728	0.0013904985869278945	1	2	730	186	220	9	5	4
marine_setup_truth_profile_rescore	raw_ani0.95_xny500_breadth0.30	0.7939330543933053	0.7808292945611202	0.013103759832185147	0.012846144381525981	0	3	759	203	191	55	34	21
marine_setup_truth_profile_rescore	raw_ani0.95_xny500_breadth0.30_depth2	0.7891949152542372	0.7808292945611202	0.008365620693117082	0.008448012510993622	0	3	745	193	205	31	20	11
marine_setup_truth_profile_rescore	raw_ani0.95_xny500_breadth0.30_depth5	0.7824222936763129	0.7808292945611202	0.001592999115192728	0.0013904985869278945	1	2	730	186	220	9	5	4
marine_setup_truth_profile_rescore	raw_ani0.95_xny500_breadth0.50	0.7978835978835979	0.7808292945611202	0.017054303322477704	0.017166846442544886	0	3	754	186	196	33	29	4
marine_setup_truth_profile_rescore	raw_ani0.95_xny650_breadth0.05	0.7951296982530438	0.7808292945611202	0.014300403691923647	0.01425382757751518	0	3	751	188	199	32	26	6
marine_setup_truth_profile_rescore	raw_ani0.95_xny650_breadth0.10	0.7951296982530438	0.7808292945611202	0.014300403691923647	0.01425382757751518	0	3	751	188	199	32	26	6
marine_setup_truth_profile_rescore	raw_ani0.95_xny650_breadth0.20	0.7951296982530438	0.7808292945611202	0.014300403691923647	0.01425382757751518	0	3	751	188	199	32	26	6
marine_setup_truth_profile_rescore	raw_ani0.95_xny650_breadth0.20_depth2	0.7904255319148936	0.7808292945611202	0.009596237353773462	0.009654468426312271	0	3	743	187	207	23	18	5
marine_setup_truth_profile_rescore	raw_ani0.95_xny650_breadth0.20_depth5	0.7828418230563002	0.7808292945611202	0.002012528495180077	0.0018879579906873056	0	3	730	185	220	8	5	3
