panel	sample	gtdb_species	truth_abundance	truth_abundance_pct	high_truth_abundance	candidate_present	profile_path	candidate_called	candidate_probability	candidate_threshold	candidate_abundance	candidate_abundance_raw	candidate_best_XnY	candidate_best_breadth	candidate_best_real_min_af	candidate_best_depth	candidate_best_zip_af	candidate_best_zip_aaf_ani	mapping_method	taxid	species_name
cami2_toy_mouse_gut	5	s__Faecalibacterium taiwanense	0.0009715475364338082	0.09715475364338082	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	False	0.1712234863598418	0.35	0.0	1.749943376568469	293.0	0.109436	0.293	0.231787	0.132454	0.908113	species_name	s__Faecalibacterium taiwanense	s__Faecalibacterium taiwanense
cami2_toy_mouse_gut	6	s__Limosilactobacillus kinnaridis	0.000861771802827209	0.0861771802827209	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample6_current.tsv	False	0.2861357498332345	0.35	0.0	0.500876579283098	182.0	0.095738	0.182	0.121708	0.24299	0.935694	species_name	s__Limosilactobacillus kinnaridis	s__Limosilactobacillus kinnaridis
cami2_toy_mouse_gut	6	s__Bacteroides uniformis	0.000861771802827209	0.0861771802827209	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample6_current.tsv	False	0.2522606292427947	0.35	0.0	0.6589235416676333	245.0	0.156414	0.245	0.21136	0.332497	0.949949	species_name	s__Bacteroides uniformis	s__Bacteroides uniformis
cami3_toy_human_gut_gtdb_source_readmap	2	s__Streptococcus salivarius_F	0.0007161238379536016	0.07161238379536017	False	False	/tmp/cami3_toy_human_gut_20260626/run/sample2_universal_autoexact_tail_p025.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
cami3_toy_human_gut_gtdb_source_readmap	1	s__Streptococcus vaginalis	0.000691856225614702	0.06918562256147019	False	True	/tmp/cami3_toy_human_gut_20260626/run/sample1_universal_autoexact.tsv	False	0.2132530366122675	0.35	0.0	1.037934516422798	493.0	0.273736	0.493	0.439941	0.423862	0.960984	best_raw_ref_taxid	2748301	Streptococcus vaginalis
cami2_toy_mouse_gut	7	s__Anaerostipes hadrus	0.0006868131868131028	0.06868131868131028	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample7_current.tsv	False	0.1195850626466467	0.35	0.0	0.6688497178290254	278.0	0.152396	0.278	0.201155	0.344747	0.951593	species_name	s__Anaerostipes hadrus	s__Anaerostipes hadrus
cami2_toy_mouse_gut	7	s__Limosilactobacillus reuteri_K	0.0006868131868131028	0.06868131868131028	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample7_current.tsv	False	0.1568318158425335	0.35	0.0	0.9885649254806856	299.0	0.126346	0.299	0.198922	0.201223	0.927121	species_name	s__Limosilactobacillus reuteri_K	s__Limosilactobacillus reuteri_K
cami2_toy_mouse_gut	7	s__Faecalibacterium prausnitzii	0.0006868131868131028	0.06868131868131028	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample7_current.tsv	False	0.0197934520561705	0.35	0.0	0.6105063002986114	220.0	0.068245	0.22	0.091184	0.149358	0.913572	species_name	s__Faecalibacterium prausnitzii	s__Faecalibacterium prausnitzii
hmp_airskin_gtdb_source_abundance	9	s__Streptococcus vaginalis	0.0005774753866259039	0.057747538662590386	False	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin9_20260627/minco_sample9_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
cami2_toy_mouse_gut	6	s__Allobosea robiniae	0.0005170630816963054	0.051706308169630545	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample6_current.tsv	False	0.3210749107653411	0.35	0.0	0.3443881031424803	125.0	0.076877	0.125	0.090873	0.263868	0.939441	species_name	s__Allobosea robiniae	s__Allobosea robiniae
cami2_toy_mouse_gut	6	s__Streptococcus pneumoniae	0.0005170630816963054	0.051706308169630545	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample6_current.tsv	False	0.0672984920339118	0.35	0.0	0.3069053708439897	197.0	0.053741	0.197	0.062341	0.204666	0.927892	species_name	s__Streptococcus pneumoniae	s__Streptococcus pneumoniae
hmp_airskin_gtdb_source_abundance	10	s__Neisseria lactamica	0.0004986005600701014	0.049860056007010135	False	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/minco_sample10_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
hmp_airskin_gtdb_source_abundance	10	s__Neisseria gonorrhoeae	0.0004986005600701014	0.049860056007010135	False	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/minco_sample10_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
cami2_toy_mouse_gut	5	s__Eubacterium callanderi	0.0004163775156145035	0.04163775156145035	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	False	0.0139832869924054	0.35	0.0	2.563863509229909	191.0	0.132507	0.191	0.332489	0.148244	0.913232	species_name	s__Eubacterium callanderi	s__Eubacterium callanderi
cami2_toy_mouse_gut	5	s__Bacteroides hominis	0.00037801597271710315	0.03780159727171031	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	False	0.0215394016811485	0.35	0.0	2.232028965325164	223.0	0.128208	0.223	0.320564	0.14362	0.911792	species_name	s__Bacteroides hominis	s__Bacteroides hominis
cami2_toy_mouse_gut	6	s__Limosilactobacillus reuteri_K	0.0003447087211308036	0.034470872113080364	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample6_current.tsv	False	0.0909271003600261	0.35	0.0	1.8651454739252296	176.0	0.064224	0.176	0.141738	0.501277	0.968609	species_name	s__Limosilactobacillus reuteri_K	s__Limosilactobacillus reuteri_K
cami2_toy_mouse_gut	6	s__Anaerotignum lactatifermentans	0.0003447087211308036	0.034470872113080364	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample6_current.tsv	False	0.520912418855989	0.35	0.0	0.5830007256894049	197.0	0.107144	0.197	0.141394	0.332323	0.949925	species_name	s__Anaerotignum lactatifermentans	s__Anaerotignum lactatifermentans
